url,Number of Dots,Subdomain Level,Path Level,URL length,Number of dash symbol,Number of AtSymbol,Number of Tilde Symbol,Number of Underscores,Number of dollar symbol,Number of colon symbol,Number of Percent symbols,Query count,Numerical character count,presence of HTTPS,IP in hostname,suffix(tld) in subdomain,HTTPS in Hostname,Hostname length,query length,Double Slash in Path,Avg wordlength in Hostname,Atsymbols in Hostname,Numerical Characters in Hostname,Number of SensitiveWords in URL,url entropy,Number of SensitiveWords in HTML,Number of Hyperlinks,External Hyperlinks percent,External ResourceURLs percent,Ext Favicon,Insecure Forms,RelativeFormAction,external formaction,Percentage of NullSelfRedirectHyperlinks,Fake Link In StatusBar,popup window,Right Click Disabled,Title is missing,Iframe Or Frame present,src_eval_cnt,src_escape_cnt,src_exec_cnt,src_search_cnt,Most Common Link Domain in External,Common Resource Domain in External,Ratio of Common Domain in Webpage,Ratio of Common Domain in Footer,Ratio of Null Links,Ratio of Null Links in Footer,Ratio of Null links present in body-tag,label
https://attonlineservices-104693-105461.weeblysite.com/,2,1,1,55,2,0,0,0,0,1,0,0,12,0,0,0,0,46,0,0,14.66666667,0,12,0,4.556194659,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
https://customeventsonline.com/tiy/,1,0,2,35,0,0,0,0,0,1,0,0,0,0,0,0,0,22,0,0,10.5,0,0,0,3.854163289,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
http://team-googiemail.ml/login.php,2,0,1,35,1,0,0,0,0,1,0,0,0,1,0,0,0,18,0,0,8.5,0,0,1,3.813880159,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
https://ujn-dot-one-drive-371107.uk.r.appspot.com/,4,3,1,50,4,0,0,0,0,1,0,0,6,0,0,0,0,41,0,0,7.4,0,6,0,4.42875844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
https://mydhl-express.net/tracking/fV5EjH/msg.php?id=77271683,2,0,3,61,1,0,0,0,0,1,0,1,9,0,0,0,0,17,11,0,8,0,0,0,4.883617617,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
https://thietbituoivuon.vn/wp-content/themes/it/intesa/00032/,1,0,6,61,1,0,0,0,0,1,0,0,5,0,0,0,0,18,0,0,8.5,0,0,0,4.011593856,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
https://shell-gifto.com/02msg/,1,0,2,30,1,0,0,0,0,1,0,0,2,0,0,0,0,15,0,0,7,0,0,0,3.989898095,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
https://lulosys.com/,1,0,1,20,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,5,0,0,0,3.546439345,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
http://www.kueronekayacotn-co-jp.kueronekayacotn.tqdfby.top/ai/?authenticated=true&openid%2Fgp%2Fsignin%2Fx%26i%3Da%26oauth%3Dm%26i%3Fie%3DUTF8%26ref_%3Drhf_custrec_signin5b7e18bb0f261b81f68594261a101c35285e7235,4,3,2,211,2,0,0,3,0,1,12,2,47,1,0,0,0,52,147,0,9.6,0,0,0,5.135661496,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
https://whatsapp.ouuirtiuu.info/,2,1,1,32,0,0,0,0,0,1,0,0,0,0,0,0,0,23,0,0,7,0,0,0,3.741729297,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
https://www.rekaarsitek.com/sam/b.html,3,1,2,38,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,5.666666667,0,0,0,3.990705474,3,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.230769231,0,0,0,1,1
https://steamcommunitlus.com/profiles/76561198152224771,1,0,2,55,0,0,0,0,0,1,0,0,17,0,0,0,0,20,0,0,9.5,0,0,0,4.503820395,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
http://qnmbpdtk.ga/,1,0,1,19,0,0,0,0,0,1,0,0,0,1,0,0,0,11,0,0,5,0,0,0,3.642149882,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
https://sanaekabs.com/meto/,1,0,2,27,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,6,0,0,0,3.70804815,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
https://steamcumnunitiy.ru/profile/75812876526453,1,0,2,49,0,0,0,0,0,1,0,0,14,0,0,0,0,18,0,0,8.5,0,0,0,4.588900405,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
http://u5285.dark.elastictech.org/agri/c877acd66405be2/region.php?particulier,4,2,3,77,0,0,0,0,0,1,0,1,13,1,0,0,0,26,11,0,5.75,0,4,0,4.559873809,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
https://metamask.plus/,1,0,1,22,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,6,0,0,0,3.538310596,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
https://www.opensea.io.offer.adelanto.cl/,5,4,1,41,0,0,0,0,0,1,0,0,0,0,0,0,0,32,0,0,4.5,0,0,0,3.976352237,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
https://att-101435-107378.square.site/,2,1,1,38,2,0,0,0,0,1,0,0,12,0,0,0,0,29,0,0,9,0,12,0,4.198603751,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
https://att-yahoo-mail-107059.weeblysite.com/,2,1,1,45,3,0,0,0,0,1,0,0,6,0,0,0,0,36,0,0,11.33333333,0,6,0,4.349984697,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
https://steanmconmnunmity.com/7658129829492827,1,0,1,46,0,0,0,0,0,1,0,0,16,0,0,0,0,21,0,0,10,0,0,0,4.34389538,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
https://wejjat-pajygen.com/,1,0,1,27,1,0,0,0,0,1,0,0,0,0,0,0,0,18,0,0,8.5,0,0,0,4.004344446,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
https://morning-ginger-loganberry.glitch.me/,2,1,1,44,2,0,0,0,0,1,0,0,0,0,0,0,0,35,0,0,11,0,0,0,4.126950017,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1
https://care56.weeblysite.com/,2,1,1,30,0,0,0,0,0,1,0,0,2,0,0,0,0,21,0,0,6.333333333,0,2,0,4.123231429,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
https://steamcommnuliity.ru/,1,0,1,28,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,9,0,0,0,3.9677201,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
